NO,RANDOM_SEED,SELECTION_MODE,BITING_RATE_MEAN,DAILY_BITING_RATE_DISTRIBUTION,N_GENES_INITIAL,N_ALLELES_PER_LOCUS,T_BURNIN,T_END,IRS_START,EXPECTED_EQUILIBRIUM,IRS_BITING
1,981257213,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,1200,120,3600,39960,28800,10800,IRS_model
2,265811073,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,2400,240,3600,39960,28800,10800,IRS_model
3,242015388,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,4800,480,3600,39960,28800,10800,IRS_model
4,898411578,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,9600,960,3600,39960,28800,10800,IRS_model
5,927228309,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,19200,1920,3600,39960,28800,10800,IRS_model
6,624436933,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,1200,120,3600,39960,28800,10800,IRS_model
7,937194294,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,2400,240,3600,39960,28800,10800,IRS_model
8,714468202,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,4800,480,3600,39960,28800,10800,IRS_model
9,62018985,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,9600,960,3600,39960,28800,10800,IRS_model
10,371784633,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,19200,1920,3600,39960,28800,10800,IRS_model
11,17203836,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,1200,120,3600,39960,28800,10800,IRS_model
12,670871804,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,2400,240,3600,39960,28800,10800,IRS_model
13,53621942,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,4800,480,3600,39960,28800,10800,IRS_model
14,357404289,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,9600,960,3600,39960,28800,10800,IRS_model
15,309187856,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,19200,1920,3600,39960,28800,10800,IRS_model
16,476471131,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,1800,180,3600,39960,28800,10800,IRS_model
17,550208063,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,3600,360,3600,39960,28800,10800,IRS_model
18,933164842,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,7200,720,3600,39960,28800,10800,IRS_model
19,342224890,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,14400,1440,3600,39960,28800,10800,IRS_model
20,147007769,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,1800,180,3600,39960,28800,10800,IRS_model
21,238956387,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,3600,360,3600,39960,28800,10800,IRS_model
22,16210217,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,7200,720,3600,39960,28800,10800,IRS_model
23,272191891,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,14400,1440,3600,39960,28800,10800,IRS_model
24,313315966,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,1800,180,3600,39960,28800,10800,IRS_model
25,443250564,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,3600,360,3600,39960,28800,10800,IRS_model
26,197067011,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,7200,720,3600,39960,28800,10800,IRS_model
27,469593828,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,14400,1440,3600,39960,28800,10800,IRS_model